department,commodity_desc,total_sales,baskets,customers,units,coupon_line_rate,avg_sales_per_line,sales_share
GROCERY,LAUNDRY DETERGENTS,55070.25,8476,1644,9385,0.05015815634884772,6.221221192950746,0.00683468846871837
GROCERY,CONVENIENT BRKFST/WHLSM SNACKS,55069.31,13998,1743,25968,0.025058766132966693,2.442422938750166,0.006834571806688315
GROCERY,COOKIES/CONES,54680.96,17137,2050,25570,0.013437307251740242,2.4090651158692395,0.006786374254165369
GROCERY,MEAT - SHELF STABLE,53608.08,13805,1868,43201,0.014728483606557378,2.28859631147541,0.006653220680968978
GROCERY,DOG FOODS,53410.97,7121,949,19769,0.03878276688993633,4.416684859009345,0.006628757646134942
DELI,CHEESES,52299.0,11331,1504,14420,0.008265056777346557,3.758732212160414,0.00649075267000789
MEAT-PCKGD,FROZEN MEAT,50911.020000000004,8233,1566,12586,0.02528172464478197,4.988830965213131,0.006318492495034802
DRUG GM,INFANT FORMULA,50861.79,2636,466,6174,0.019064124783362217,17.62973656845754,0.006312382631482067
SEAFOOD-PCKGD,SEAFOOD - FROZEN,50560.98,6689,1499,9959,0.015085655842495525,6.463945282536436,0.00627504954077928
GROCERY,HISPANIC,47899.9,14266,1920,31735,0.012299866577718479,1.997160607071381,0.005944786780208244
GROCERY,SALD DRSNG/SNDWCH SPRD,47585.87,16769,2137,23260,0.014430960970810102,2.2295773790001405,0.005905812974572141
GROCERY,DINNER MXS:DRY,47209.58,13309,1834,29913,0.016606387855942133,2.4048484539758546,0.005859112171073082
MEAT-PCKGD,BREAKFAST SAUSAGE/SANDWICHES,46085.22,10984,1692,17224,0.012501929310078716,3.556507177033493,0.005719569490103081
MEAT-PCKGD,BACON,45436.41,10880,1693,15981,0.005296058343462406,3.9448176766799796,0.005639046626571698
PRODUCE,POTATOES,45169.62,15330,1973,19074,0.0,2.778984865263935,0.005605935708488534
GROCERY,CONDIMENTS/SAUCES,44856.14,17879,2158,26827,0.02168920643021179,1.9076354512205493,0.005567030162550866
DRUG GM,HAIR CARE PRODUCTS,44840.520000000004,7949,1506,12992,0.028789997532285925,3.6884527432754797,0.005565091587115284
PRODUCE,SALAD MIX,44807.03,15535,1846,20383,0.009126543029310244,2.621367226349968,0.005560935192023244
GROCERY,REFRGRATD DOUGH PRODUCTS,43477.13,14129,1869,25136,0.06609301588977459,2.2951554663991973,0.005395883241204997
GROCERY,FRZN VEGETABLE/VEG DSH,43410.18,12737,1771,31833,0.010990959049813863,1.9238689948590675,0.005387574174277197
MEAT-PCKGD,DINNER SAUSAGE,42889.200000000004,9892,1744,16091,0.023067954696868755,3.5717188540972686,0.005322916105747766
GROCERY,FD WRAPS/BAGS/TRSH BG,42796.19,11242,1906,15493,0.03268251273344652,3.027461092246746,0.005311372770199526
PRODUCE,TOMATOES,41861.79,15322,1882,16569,6.295643414756988e-05,2.6354690254343995,0.005195405747983893
GROCERY,MILK BY-PRODUCTS,41749.4,19707,2030,26567,0.0101628664495114,1.8132204125950055,0.005181457188879853
GROCERY,FRUIT - SHELF STABLE,40925.53,13306,1867,31111,0.008497399702823179,1.9003310735512629,0.0050792078838790035
PRODUCE,TROPICAL FRUIT,40551.23,32503,2155,39831,2.9039377395748635e-05,1.177582471831804,0.0050327540563797415
GROCERY,FRZN NOVELTIES/WTR ICE,40330.18,10358,1744,16209,0.01089108910891089,2.852205091937765,0.0050053198630356
GROCERY,EGGS,39928.17,27836,2230,34239,0.0014805414551607445,1.4075074027072758,0.004955426987820588
GROCERY,HOUSEHOLD CLEANG NEEDS,39364.61,7405,1548,11748,0.04961759082217973,3.763347036328872,0.0048854843775467845
PASTRY,CAKES,38690.65,4463,1428,5465,0.0015748031496062992,7.61626968503937,0.0048018401841687375
GROCERY,DRY BN/VEG/POTATO/RICE,37524.22,13270,1944,28017,0.014330834865412718,1.7689256587941358,0.004657076256811095
