seller_id,total_orders,error_orders,error_rate
ccc4bbb5f32a6ab2b7066a4130f114e3,187,15,8.02
09f952a5f58d2285b0372551ae8f9b01,50,4,8.0
7299e27ed73d2ad986de7f7c77d919fa,338,27,7.99
5b925e1d006e9476d738aa200751b73b,63,5,7.94
c33847515fa6305ce6feb1e818569f13,114,9,7.89
6d66611d7c44cc30ce351abc49a68421,166,13,7.83
951e8cef368f09bb3f3d03c00ca4702c,64,5,7.81
3c7c4a49ec3c6550809089c6a2ca9370,141,11,7.8
6edacfd9f9074789dad6d62ba7950b9c,208,16,7.69
8ae520247981aa06bc94abddf5f46d34,65,5,7.69
b94cc9f10ddc85e4ba73a6f7974e7101,39,3,7.69
bfd27a966d91cfaafdb25d076585f0da,117,9,7.69
113e3a788b935f48aad63e1c41dac1bd,39,3,7.69
55a5b51f93f2b70ea513f5a047b0262a,39,3,7.69
95f83f51203c626648c875dd41874c7f,52,4,7.69
e24fc9fcd865784fb25705606fe3dfe7,52,4,7.69
4830e40640734fc1c52cd21127c341d4,210,16,7.62
d6b1ce66b035a475f00c017792ff9769,92,7,7.61
6b243f80ed07b10f0e8aa0f21a205f3c,79,6,7.59
624f4ece8da4aafb77699233d480f8ef,53,4,7.55
dee656f0f566ed1aa85bd137c943f08f,93,7,7.53
75fbb52eda0cbc24f479d3b2fbfa8d3e,40,3,7.5
850f4f8af5ea87287ac68de36e29107f,187,14,7.49
9b013e03b2ab786505a1d3b5c0756754,174,13,7.47
0be8ff43f22e456b4e0371b2245e4d01,161,12,7.45
d9a84e1403de8da0c3aa531d6d108ba6,54,4,7.41
1bb2bdb95f4841f1bba2c0d2cd83d3c9,81,6,7.41
f214d28e8d8e3ef068748498ccc2f813,54,4,7.41
25e6ffe976bd75618accfe16cefcbd0d,108,8,7.41
79ebd9a61bac3eaf882805ed4ecfa12a,136,10,7.35
43f8c9950d11ecd03a0304a49e010da6,41,3,7.32
0b90b6df587eb83608a64ea8b390cf07,164,12,7.32
7dc8c42cc750eeafea6c85712ffee9bf,41,3,7.32
66922902710d126a0e7d26b0e3805106,151,11,7.28
f4aba7c0bca51484c30ab7bdc34bcdd1,110,8,7.27
080102cd0a76b09e0dcf55fcacc60e05,124,9,7.26
48436dade18ac8b2bce089ec2a041202,138,10,7.25
7a67c85e85bb2ce8582c35f2203ad736,1160,84,7.24
41b39e28db005d9731d9d485a83b4c38,195,14,7.18
7e93a43ef30c4f03f38b393420bc753a,336,24,7.14
59fb871bf6f4522a87ba567b42dafecf,126,9,7.14
46dc3b2cc0980fb8ec44634e21d2718e,521,37,7.1
8444e55c1f13cd5c179851e5ca5ebd00,99,7,7.07
282f23a9769b2690c5dda22e316f9941,99,7,7.07
30a2f535bb48308f991d0b9ad4a8c4bb,71,5,7.04
01fdefa7697d26ad920e9e0346d4bd1b,129,9,6.98
e0a366315b1b726b6c7832d664c0f530,43,3,6.98
31344c16881c08a8a72c6d2eb29918c1,43,3,6.98
25c5c91f63607446a97b143d2d535d31,158,11,6.96
dc4a0fc896dc34b0d5bfec8438291c80,231,16,6.93
6d803cb79cc31c41c4c789a75933b3c7,58,4,6.9
f8db351d8c4c4c22c6835c19a46f01b0,667,46,6.9
ceaec5548eefc6e23e6607c5435102e7,203,14,6.9
87142160b41353c4e5fca2360caf6f92,305,21,6.89
537eb890efff034a88679788b647c564,160,11,6.88
fa40cc5b934574b62717c68f3d678b6d,307,21,6.84
b410bdd36d5db7a65dcd42b7ead933b8,44,3,6.82
cd06602b43d8800bd0afad514919d35c,44,3,6.82
f789d2c4f2c2eb38fc4373e7a4b35264,44,3,6.82
1da3aeb70d7989d1e6d9b0e887f97c23,265,18,6.79
de722cd6dad950a92b7d4f82673f8833,339,23,6.78
45d33f715e24d15a6ccf5c17b3a23e3c,59,4,6.78
05ff92fedb5be47920fea08e501238b9,59,4,6.78
9e6229250fedbe05838fef417b74e7fb,74,5,6.76
3d871de0142ce09b7081e2b9d1733cb1,1080,73,6.76
128639473a139ac0f3e5f5ade55873a5,533,36,6.75
0509040ea3fe50071181bbc359eb7738,89,6,6.74
3b15288545f8928d3e65a8f949a28291,104,7,6.73
f80edd2c5aaa505cc4b0a3b219abf4b8,119,8,6.72
d2374cbcbb3ca4ab1086534108cc3ab7,524,35,6.68
0bb738e4d789e63e2267697c42d35a2d,30,2,6.67
33a6f4b1e7cdc205511e76ba1b6e0186,105,7,6.67
40d54b51e962dbe09cabbcfd33298dee,30,2,6.67
2a6fbeaa7ab9e5d59a35841a8da71ce4,30,2,6.67
701938c450705b8ae65fc923b70f35c7,75,5,6.67
1b938a7ec6ac5061a66a3766e0e75f90,30,2,6.67
c66dccfb3f109511246da627dd5a2498,45,3,6.67
abcd2cb37d46c2c8fb1bf071c859fc5b,45,3,6.67
a7f13822ceb966b076af67121f87b063,75,5,6.67
18a349e75d307f4b4cc646a691ed4216,121,8,6.61
0c8380b62e38e8a1e6adbeba7eb9688c,182,12,6.59
2e1c9f22be269ef4643f826c9e650a52,167,11,6.59
1a3df491d1c4f1589fc2b934ada68bf2,167,11,6.59
01cf7e3d21494c41fb86034f2e714fa1,61,4,6.56
562fc2f2c2863ab7e79a9e4388a58a14,260,17,6.54
f457c46070d02cadd8a68551231220dd,199,13,6.53
